"ID","Predicted_MonthlyIncome"
871,5657.10445227554
872,2315.17758381619
873,13926.9445134007
874,2242.00251772315
875,2340.07898604341
876,6654.9100713474
877,5755.67716938802
878,2187.13483332174
879,2433.78752016229
880,15128.3484912914
881,10819.6960356075
882,2393.198679345
883,5667.94586142984
884,5671.67884769851
885,6123.16179181254
886,6066.5659601643
887,6380.41648693719
888,6321.5384179861
889,6307.73766963636
890,2618.01470747755
891,6148.93683633666
892,9708.77961111583
893,9498.32967733335
894,5674.41933638275
895,11257.6350792938
896,10110.1220449767
897,9958.40979070965
898,14151.8499873186
899,5789.65383611188
900,2403.40514056658
901,2432.53577785468
902,6109.08364518178
903,6337.44710388852
904,2554.60130218843
905,14409.0468411794
906,5617.7855073237
907,10674.2376992761
908,6187.63898691362
909,2164.47767098655
910,2117.05780556465
911,18576.2133476709
912,2642.77741056426
913,2393.198679345
914,10217.9087257263
915,6301.62174433515
916,6097.80213820393
917,2198.95058650263
918,5643.18315834313
919,1716.82841487088
920,2757.92465952744
921,1845.50611329805
922,2107.34759313528
923,6415.74320089719
924,6673.90094782088
925,15423.4135411383
926,2496.61742589324
927,5796.1273110648
928,10380.0668420851
929,2149.42518032921
930,2390.10064100905
931,5962.01841369229
932,10086.4905386149
933,9548.98628023171
934,2165.31331587264
935,2155.89865528212
936,2373.30015925189
937,10599.8108908755
938,10649.8325458411
939,6811.48650860805
940,1716.82841487088
941,2891.1089912965
942,9716.86237802805
943,10333.3644727678
944,6050.38227278202
945,1714.72287411936
946,6081.12220202943
947,1739.48557720607
948,2205.42406145555
949,2716.09117579781
950,5773.82769838131
951,2521.87637777217
952,5733.02000705283
953,6251.1038405773
954,2337.33849735917
955,6279.10328114047
956,10348.2425726668
957,11828.0855094056
958,2490.77889887305
959,10531.1044607135
960,18790.8966036105
961,2299.13259557442
962,6148.93683633666
963,6578.89381484043
964,6689.09213761874
965,2174.18788341592
966,18215.4614449224
967,2264.65968005834
968,9565.16996761399
969,15425.3985363071
970,2337.83474615138
971,5708.89225189883
972,6244.27281597268
973,2299.62884436663
974,2155.89865528212
975,6094.56540072747
976,2230.18676454226
977,7007.22334782706
978,2298.4976476417
979,10222.8934543026
980,18646.5092259392
981,1898.26825694793
982,10085.9562924119
983,2351.61734094329
984,1892.92597871995
985,5777.69938379049
986,2485.29792150456
987,2181.15760716105
988,5787.90584501207
989,10347.8381664611
990,2220.9728009051
991,6850.49476046217
992,2280.84336744062
993,6623.02549441132
994,5756.53096783194
995,5670.54765097358
996,6409.66766980796
997,2198.31563856991
998,14642.6518763845
999,9700.81738978628
1000,2117.05780556465
1001,7058.18605200257
1002,5733.87380549675
1003,6241.03607849623
1004,6981.46814715592
1005,2438.99109924976
1006,5913.84305475499
1007,1777.19523019861
1008,6443.74264146035
1009,18641.7837420861
1010,6021.96913159849
1011,10724.1388086591
1012,6620.83270289385
1013,5899.54605761304
1014,6364.23279955491
1015,5863.32515099714
1016,2386.22895559987
1017,2426.67909727665
1018,9568.40670509045
1019,9717.00107716856
1020,2127.89921471895
1021,5751.30923518663
1022,5870.15617560176
1023,6241.88987694015
1024,10529.7742573304
1025,14567.6082736089
1026,18387.8037818487
1027,6706.76457137765
1028,5646.41989581958
1029,5678.64857144363
1030,10868.5730428844
1031,5621.02224480015
1032,2730.01246973022
1033,9973.0040299856
1034,2136.47823042338
1035,6313.07994786434
1036,2155.89865528212
1037,5680.89281133566
1038,10655.6196244867
1039,10092.8253144273
1040,6348.68406010535
1041,2324.39154745335
1042,2381.38292616411
1043,9596.90239444583
1044,6058.96368528762
1045,2267.89641753479
1046,2130.00475547047
1047,6149.92933392109
1048,10120.4672053388
1049,2374.55190155949
1050,5841.66048624637
1051,10782.4041703316
1052,2345.42126427139
1053,6199.95098888673
1054,2429.29904037823
1055,2369.07092419101
1056,2439.00925280759
1057,6214.5253843097
1058,13896.839532086
1059,7095.5381553434
1060,2334.10175988271
1061,6263.53638813307
1062,6168.3572611954
1063,6441.89634543201
1064,1801.95793328532
1065,6416.22129613156
1066,2315.81253174891
1067,3222.13570303609
1068,18384.4505858859
1069,5652.25842283978
1070,1812.50379060077
1071,1984.88652173901
1072,6315.95913568909
1073,1777.19523019861
1074,6310.97440711281
1075,5770.94851055656
1076,13998.7695322576
1077,18419.6567542632
1078,6212.54038914085
1079,6259.82155542224
1080,6931.44649219028
1081,2522.86887535659
1082,2210.76633968352
1083,1733.01210225316
1084,6085.71138354318
1085,10003.6052600925
1086,9960.41702653264
1087,5693.20481330877
1088,2428.66409244551
1089,2324.39154745335
1090,5674.41933638275
1091,5702.41877694592
1092,5955.54493873937
1093,9975.10957073713
1094,5730.27951836858
1095,6094.06915193526
1096,6187.63898691362
1097,3096.69474208538
1098,2665.93082169166
1099,2358.36821417721
1100,6193.11996428211
1101,17940.3130687265
1102,5796.4848607165
1103,6038.78776691349
1104,11323.9411233714
1105,2408.88611793506
1106,2399.81085343842
1107,2409.02481707557
1108,6730.89232653165
1109,5708.89225189883
1110,5680.25786340294
1111,6403.69044364726
1112,9882.47608237453
1113,10414.2805128781
1114,6457.90333626296
1115,10713.6953433685
1116,2406.28432839133
1117,7008.35454455199
1118,6253.98302840205
1119,10960.9425839298
1120,1938.71839862471
1121,10404.0360542456
1122,15005.6480190249
1123,6212.54038914085
1124,14208.3451172371
1125,2176.78967295966
1126,1777.69147899082
1127,2315.3162829567
1128,6237.02569394654
1129,13744.6508728797
1130,2252.84392687745
1131,10182.1840679026
1132,14193.2926265798
1133,6176.93627689983
1134,2201.05612725416
1135,2585.97617936856
1136,2340.57523483562
1137,3033.22988842171
1138,5798.72910060853
1139,9831.73932810548
1140,13875.5704143977
1141,6244.27281597268
1142,5795.49236313208
1143,10906.3341442515
1144,5602.23676787414
1145,6741.85428126862
1146,5780.30117333422
1147,6128.40336831083
1148,2287.17814325302
1149,2195.71384902618
1150,6250.25004213338
1151,2201.05612725416
1152,5806.83002107859
1153,6990.54341165257
1154,2130.00475547047
1155,6392.84903449296
1156,14535.2408988444
1157,1914.94819312242
1158,6812.97525498469
1159,2236.66023949517
1160,6219.86766253768
1161,2250.58153342758
1162,10257.4646747472
1163,2471.49717315482
1164,10234.4499627603
1165,2377.78863903595
1166,2151.53072108073
1167,10198.4883008676
1168,5696.44155078522
1169,2337.33849735917
1170,2342.18452679493
